房间装修用料表
位置	房间名称	（楼）地面			内墙面		踢 脚		顶 棚		附注
		编号及类别	名称	总厚度	编号及类别	名称	编号及类别	名称	编号及类别	名称	
地下部分											
	地下车库、连接通道	地1U	耐磨混凝土地面	400（最厚处）	内墙1U	水泥砂浆墙面	踢1U	水泥踢脚	棚1U	板底抹灰刮腻子顶棚	装修材料均为A级
	密闭通道、集气室，储油间	地 2U-1	水泥地面（有防水层）	380（最厚处）	内墙1U	水泥砂浆墙面	踢1U	水泥踢脚	棚1U	板底抹灰刮腻子顶棚	装修材料均为A级
	汽车库坡道	坡1	混凝土汽车坡道	100	内墙1U	水泥砂浆墙面	踢1U	水泥踢脚	棚1U	板底抹灰刮腻子顶棚	装修材料均为A级
	平战转换构件材料平时堆放专用房	地2U	水泥地面	400（最厚处）	内墙1U	水泥砂浆墙面	踢1U	水泥踢脚	棚1U	板底抹灰刮腻子顶棚	装修材料均为A级
地下二层	人防移动电站、备用间	地4U	细石魁:地面	400（最厚处）	内墙2U	合成树脂乳胶漆墙面	踢1U	水泥踢脚	棚1U	板底抹灰刮腻子顶棚	装修材料均为A级
	走道、防化通讯值班室、电梯厅、										
		地3U	铺地砖地面	400（最厚处）	内墙2U	合成树脂乳胶漆墙面	踢2U	地砖踢脚（100高）	棚2U	乳胶漆顶棚（防火型）	装修材料均为A级
	前室、疏散楼梯间、医务室（人防）										
	报警阀室、进风机房、排风机房	地 2U-1	水泥地面（有防水层）	380（最厚处）	内墙3U	吸音墙面	踢1U	水泥踢脚	棚3U	吸音顶棚	装修材料均为A级
	强弱电竖井、配电间，水暖管井	地2U	水泥地面	400（最厚处）	内墙1U	水泥砂浆墙面					装修材料均为A级
	男卫生间、女卫生间	地5U	防滑地砖楼面（带防水层）	385（最厚处）	内墙4U	高级瓷板砖墙面			棚5U	铝合金方板吊顶	装修材料均为A级▲
	换乘大厅	地6U/楼6U	磨光花岗石板/磨光大理石板楼面	400（最厚处）	内墙5U	大理石/花岗岩石板墙面	踢3U	花岗石踢脚板	棚4U	金属隔栅吊顶	装修材料均为A级▲
	换配套商业	地6U	磨光花岗石板/磨光大理石板楼面	400（最厚处）	内墙2U	合成树脂乳胶漆墙面	踢3U	花岗石踢脚板	棚4U	金属隔栅吊顶	装修材料均为A级▲
	乘空调机房	地 2U-1	水泥地面（有防水层）	380（最厚处）	内墙3U	吸音墙面	踢1U	水泥踢脚	棚3U	吸音顶棚	装修材料均为A级
	大男卫生间、女卫生间	地5U	防滑地砖楼面（带防水层）	385（最厚处）	内墙4U	高级瓷板砖墙面			棚5U	铝合金方板吊顶	装修材料均为A级▲
	厅室外下沉庭院	地5U	防滑地砖楼面（有防水层）	385（最厚处）	内墙2U	合成树脂乳胶漆墙面	踢2U	地砖踢脚（100高）	棚4U	金属隔栅吊顶	装修材料均为A级▲
	消防水泵房	地 2U-1	水泥地面（有防水层）	380（最厚处）	内墙3U	吸音墙面	踢1U	水泥踢脚	棚3U	吸音顶棚	装修材料均为A级
	弱电机房、通讯机房	楼4U	细石丘楼面	100（最厚处）	内墙3U	吸音墙面	踢1U	水泥踢脚	棚3U	吸音顶棚	装修材料均为A级
	汽车库、出租车上车区	楼1U	耐磨混凝土楼面	100（最厚处）	内墙1U	水泥砂浆墙面	踢1U	水泥踢脚	棚1U	板底抹灰刮腻子顶棚	装修材料均为A级
	汽车库坡道	坡1	混凝土汽车坡道	100	内墙1U	水泥砂浆墙面	踢1U	水泥踢脚	棚1U	板底抹灰刮腻子顶棚	装修材料均为A级
地下一层	走道、电梯厅，前室	楼 3U-1	铺地砖楼面	100	内墙2U	合成树脂乳胶漆墙面	踢2U	地砖踢脚（100高）	棚2U	乳胶漆顶棚（防火型）	装修材料均为A级▲
	地疏散楼梯间	楼3U	铺地砖楼面	30	内墙2U	合成树脂乳胶漆墙面	踢2U	地砖踢脚（100高）	棚2U	乳胶漆顶棚（防火型）	装修材料均为A级▲
	下 进、排风机房、空调泵房	楼 2U-1	水泥楼面（有防水层）	80（最厚处）	内墙3U	吸音墙面	踢1U	水泥踢脚	棚3U	吸音顶棚	装修材料均为A级
	车强弱电竖井、水暖管井	楼2U	水泥楼面	100	内墙1U	水泥砂浆墙面					装修材料均为A级
	库备用间	楼 3U-1	铺地砖楼面	100	内墙2U	合成树脂乳胶漆墙面	踢2U	地砖踢脚（100高）	棚2U	乳胶漆顶棚（防火型）	装修材料均为A级
	室外下沉广场	楼5U	防滑地砖楼面（有防水层）	85（最厚处）							装修材料均为A级▲
	消防控制室	楼6U	防静电活动楼面（净空200）	300	内墙2U	合成树脂乳胶漆墙面	踢4U	橡胶踢脚	棚6U	矿棉板吊顶	装修材料均为A级
	配电间	楼4U	细石被楼面	100（最厚处）	内墙1U	水泥砂浆墙面	踢1U	水泥踢脚	棚1U	板底抹灰刮腻子顶棚	装修材料均为A级
	男卫生间、女卫生间	楼5U	防滑地砖楼面（有防水层）	85（最厚处）	内墙4U	高级瓷板砖墙面			棚5U	铝合金方板吊顶	装修材料均为A级▲
	变配电室	楼1U	耐磨混凝土楼面	100（最厚处）	内墙3U	吸音墙面	踢1U	水泥踢脚	棚3U	吸音顶棚	装修材料均为A级
地上部分											
	疏散楼梯间	楼2	铺地砖楼面	30	内墙2	合成树脂乳胶漆墙面	踢2	铺地砖踢脚	棚3	乳胶漆顶棚（防火型）	装修材料均为A级▲
	IC卡、调度、控制室、管理人员办公										
		楼2A	铺地砖楼面	100	内墙2	合成树脂乳胶漆墙面	踢2	铺地砖踢脚	棚1	矿棉板吊顶	装修材料均为A级▲
	场站管理中心、驾乘人员休息室										
首层	男卫生间，女卫生间	楼3A	防滑地砖楼面（带防水层）	85（最厚处）	内墙1	高级瓷板砖墙面			棚4	铝合金方板吊顶	装修材料均为A级▲
	强，弱电竖井	楼1	水泥楼面	100	内墙4	抹灰墙面				—				装修材料均为A级▲
	水管井、空调井	楼1A	水泥楼面（带防水层）	80	内墙4	抹灰墙面		一		—				装修材料均为A级
	高位水箱间（地下车库用）	楼1A	水泥楼面（带防水层）	80	内墙3	吸音墙面	踢1	水泥踢脚	棚2	吸音顶棚	装修材料均为A级
