提高与创新								
类别		序号	条文			分值	项目设计现状	确定 得分
一般规定		11.1.1	绿色建筑评价时，应按本章规定对加分项进行 评价。加分项包括性能提高和创新两部分。					
		11.1.2	加分项的附加得分为各加分项得分之和。当附 加得分大于10分时，应取为10分。					
评分 项	性能 提高	11.2.1	围护结构热工性能指标优于国家或行业建筑节 能设计标准的规定，并满足下列任意一款的要求:			2		0
			or	1 围护结构热工性能比国家或行业建 筑节能设计标准规定高20%；		2		
				2 供暖空调全年计算负荷降低幅度达 到 15%。		2		
		11.2.2	供暖空调系统的冷、热源机组能效等级均比现 行国家标准《公共建筑节能设计标准》GB 50189的规定以及现行有关国家标准能效节能 评价值的要求，评价分值为1分；对房间空调 调节器和家用燃气热水炉，其能效等级满足现 行有关国家标准规定的1级要求。			1		0
		11.2.3	采用分布式热电冷联供技术，系统全年能源综 合利用率不低于70%。			1		0
		11.2.4	卫生器具的用水效率均为国家现行有关卫生器 具用水等级标准规定的1级。			1		0
		11.2.5	采用资源消耗少和环境影响小的建筑结构体系			1		0
		11.2.6	对主要功能房间采取有效的空气处理措施。			1	空气处理机组中设置中效过滤段， 主要功能房间设置空气净化装置。	1
		11.2.7	室内空气中的氨、甲醛、苯、总挥发性有机物 、就、可吸入颗粒物等污染物浓度不高于现行 国家标准《室内空气质量标准》GB/T 18883规 定限值的70%。			1		0
	创新	11.2.8	建筑方案充分考虑建筑所在地域的气候、环境 、资源，结合场地特征和建筑功能，进行技术 经济分析，显著提高能源资源利用效率和建筑 性能。			2		0
		11.2.9	合理选用废弃场地进行建设，或充分利用尚可 使用的旧建筑。			1		0
		11.2.10	应用建筑信息模型（BIM）技术，在建筑的规 划设计、施工建造和运行维护阶段中的一个阶 段应用得1分，两个或二个以上阶段应用得2分			2	规划设计阶段光用BIM技术	1
		11.2.11	进行建筑碳排放计算分析，采取措施降低单位 建筑面积碳排放强度。			1		0
		11.2.12	采取节约能源资源、保护生态环境、保障安全 健康的其他创新，并有明显效益。采取一项得 1分，两项及以上得2分。			2		0
分值	不参评分值：			0	合计	16		2
	权重系数：			1	加权得分	10		2
